title,description,topic,sentiment
Why is Kamala Harris still asking for campaign donations?,"A week after losing the election, Kamala Harris's team are still appealing for funds.",Campaign Activity,negative
The blue wall was Kamala Harris' clearest path to the White House. Here's why it faded away.,Vice President Harris sought to bring together the coalition that had elected President Biden. But an array of challenges proved to be insurmountable.,Analysis,negative
Chris Christie: Most effective Trump ad was â€˜Kamala Harris is for they/themâ€™,,Trump,negative
Harris Surrogate Says Joe Biden Gave a â€˜Big F Youâ€™ to Fellow Democrats With Kamala Endorsement | Video,,Fallout & Moving Forward,neutral
Canvassing for Kamala Harris in Pennsylvania,Jennifer Egan writes about going door to door in Philadelphia and Allentown before the 2024 election in order to rally support for the Democrat in her campaign against Donald Trump.,Campaign Activity,neutral
"No, Oprah Winfrey Wasn't Paid $1 Million To Endorse Kamala Harris","""Oprah was not paid. The internet is a machine that devours trust"" â€” Hank Green.View Entire Post â€º",Celebrity,neutral
Jill Biden's apparent cold shoulder for Kamala Harris ignites social media,,Fallout & Moving Forward,negative
"I spent Election week on Twitter (X) but I didn't have to see political posts. This extension uses AI to block mentions of Donald Trump, Kamala Harris, or politics.",A new browser extension uses AI to filter out political content from X (formerly Twitter).,Fallout & Moving Forward,neutral
Pharrell Williams Denies Dissing Taylor Swift's Kamala Harris Endorsement,Pharrell Williams criticized music stars on both sides of the aisle campaigning for their presidential picks ahead of the election ... but is flat-out denying he was gunning at Taylor Swift!!! The superproducer-turned-Louis Vuitton fashion czarâ€¦,Celebrity,neutral
"Joe Biden, Kamala Harris Out Together for 1st Time Since Election Loss","President Joe Biden and Vice President Kamala Harris are carrying on after last week's election loss ... with the political team stepping out for a Veterans Day ceremony. The president and his VP were back on duty Monday, attending a laying of aâ€¦",Campaign Activity,neutral
Alan Ruck Thinks 'Misogyny' Played a Factor in Kamala Harris' Loss,"Alan Ruck is weighing in on the results of the 2024 presidential election ... sharing his belief that ""misogyny"" played a role in Kamala Harris' big loss. We caught up with the ""Succession"" star at LAX after the election, and he admitted he wasâ€¦",Analysis,neutral
Jimmy Kimmel Says Donald Trump's Victory Over Kamala Harris Was a 'Terrible Night',"Jimmy Kimmel got choked up during the opening monologue of his late-night show, telling his audience it was ""terrible"" that Donald Trump beat Kamala Harris in the 2024 presidential election. The comedian came out onstage Wednesday evening forâ€¦",Fallout & Moving Forward,positive
Kamala Harris Could Earn Big Bucks With Speaking Gigs After Election Loss,"Vice President Kamala Harris may've lost the 2024 Presidential Election, but her future is still looking bright ... the politician could rake in the dough with speaking engagements. Darren Prince, the CEO of Prince Marketing Group, tells TMZ ...â€¦",Fallout & Moving Forward,positive
Andrew Yang Says Kamala Harris Screwed Up by Not Going on Joe Rogan Podcast,"Andrew Yang says Kamala Harris made a major misstep during the campaign ... claiming she should've spent a few hours in Austin, Texas -- speaking to Joe Rogan! The 2020 presidential candidate stopped by ""TMZ Live"" Friday to talk about why Democratsâ€¦",Analysis,negative
Beyond abortion rights: Why did Kamala Harris lose womenâ€™s votes?,The number of American women voting Democratic declines after Joe Biden's election to the presidency. Why?,Analysis,negative
How Kamala Harris and the Democrats lost the 2024 US election,Marc Lamont Hill dissects the reasons behind a historic election victory for Donald Trump.,Analysis,negative
Oprah Winfrey Details How Her Company Spent $1 Million From Kamala Harrisâ€™ Campaign on â€˜Unite for Americaâ€™,"Despite the inaccurate reporting and speculation that Oprah Winfrey was personally paid by the Kamala Harris campaign to participate in the â€œUnite for Americaâ€ livestream rally in September, Winfrey has once again confirmed that the $1 million spent by the caâ€¦",Celebrity,neutral
"Media CEOs Weigh In On Washington Post And LA Times Non-Endorsements Of Kamala Harris, AI And Covering Trump 2.0","In a wide-ranging discussion Wednesday about the unsettled state of journalism, two media CEOs weighed in on covering Donald Trump and the decision by the Washington Post and LA Times to not endorse a presidential candidate. Steve Hasker, CEO of Thomson Reuteâ€¦",Analysis,neutral
John Oliver Jokes Katy Perryâ€™s â€œIll-Advisedâ€ Whitney Houston Cover Is To Blame For Kamala Harrisâ€™ Election Loss: â€œItâ€™s OK Not To Have The Rangeâ€,"In an episode dedicated to unpacking the 2024 presidential election results, John Oliverâ€™s through-line toward making sense of Kamala Harrisâ€™ loss was a running joke pinning the blame on Katy Perryâ€™s â€œill-advisedâ€ cover of Whitney Houstonâ€™s â€œGreatest Love of â€¦",Fallout & Moving Forward,neutral
"Joe Biden, In First Speech Since Kamala Harrisâ€™ Loss To Donald Trump, Says â€œA Defeat Does Not Mean We Are Defeatedâ€","In his first speech since Kamala Harris lost the presidential race to Donald Trump, President Joe Biden vowed a peaceful transition of power and said that many of his administrationâ€™s accomplishments would be felt over the next decade. In his Rose Garden addrâ€¦",Fallout & Moving Forward,neutral
"Oprah Winfrey Says She Was Not Paid To Endorse Kamala Harris, And Thereâ€™s A Legal Reason Why VPâ€™s Campaign Spent $1 Million On Harpo Productions",Oprah Winfrey has tried to tamp down the notion â€” which has gotten some traction on social media â€” that she was paid $1 million to endorse Kamala Harris. The story gained fuel after a Washington Times story that cited campaign finance records showing that Oprâ€¦,Celebrity,negative
Kamala Harris drinks wine and plays Connect 4 in joyful post-election pic posted by her niece,"What would you do if you'd just been dealt a devastating, extremely public defeat? If your answer is ""drink wine in leggings,"" then Vice-President and former Democratic U.S. presidential candidate Kamala Harris can do you one better: Drink wine in leggings, sâ€¦",Fallout & Moving Forward,positive
The women's wave fell short for Kamala Harris. What happened?,"During an antagonistic race for the White House, both candidates tried to turn the gender gap among voters to their advantage, with Harris focusing on reproductive freedom as a cornerstone of her campaign and Trump doubling down on a hypermasculine strategy tâ€¦",Analysis,negative
What Kamala Harrisâ€™ Loss Says About Female Leadership. Plus: Asiaâ€™s Most Powerful Businesswomen In 2024,"Welcome to this weekâ€™s ForbesWomen newsletter, which every Thursday brings news about the worldâ€™s top female entrepreneurs, leaders and investors straight to your inbox.",Analysis,neutral
Kamala Harris Fundraising Going Towards 'Recount',Donations to the vice president's campaign on ActBlue are now being partially rerouted towards a vote recount effort.,Campaign Activity,neutral
"Kamala Harris' Radical, Inflexible Policies Lost Her the Catholic Vote | Opinion","America has narrowly dodged a bigot. Throughout Kamala Harris' presidential campaign, the incumbent vice president made no attempts to appeal to Catholic voters. Instead, she insulted us all the way to the finish line. Just weeks before Election Day, Harris sâ€¦",Analysis,negative
The Real Reason Why Kamala Harris' Interview With Joe Rogan Was Called Off,"In the final days of the presidential race, eyebrows were raised after podcaster Joe Rogan announced he had rejected the terms of an interview with the Democratic nominee, Vice President Kamala Harris. After Harris' stinging defeat by now President-elect Donaâ€¦",Analysis,neutral
Judge Recused in Arizona 'Fake Electors' Case after Kamala Harris Remark,"An Arizona judge has recused himself from a ""fake electors"" case against Trump allies after being accused of anti-Trump bias due to comments he made about Kamala Harris. Maricopa County's Judge Bruce Cohen recused himself after emails surfaced in which he calâ€¦",Fallout & Moving Forward,neutral
Kamala Harris Campaigned on 'Joy.' Now It's Republicans Having All the Fun,"How Donald Trump went from Democratic supervillain to silly dancing grandpa, and what that reflects in the wider culture.",Analysis,negative
One sentence sums up Kamala Harris' misread of the election,Why Harris lost the election to Trump is a complicated question. Part of it is tied to her failure to outline what she would have done differently than Biden.,Analysis,negative
Kamala Harris' Celebrity Endorsements Didn't Matter. Can They Shift Voters?,"Vice President Kamala Harris' failure to win the presidency has called into question the Democrats' tactics, including the amplification of celebrity endorsements that seemed to make little impact on the final result. Harris picked up momentum early on when sâ€¦",Analysis,negative
Kamala Harris Photo Shows Her Laughing With Family Days After Election Loss,"Kamala Harris' niece shared a photo of the vice president with her great nieces after her loss to President-elect Donald Trump following the 2024 presidential election. ""Back to where it all began only a few months ago. My eternal gratitude to everyone who shâ€¦",Fallout & Moving Forward,neutral
Oprah Winfrey Denies Claim She Was Paid $1M by Kamala Harris Campaign,Oprah Winfrey is setting the record straight on her involvement with Kamala Harris' presidential campaign. The former talk show host denied rumors that she was paid a $1 million personal fee to...,Celebrity,neutral
BeyoncÃ©'s Mom Slams Rumor She Got $10 Million for Kamala Harris Rally,"You know you're BeyoncÃ© when you cause all this conversation. The ""Formation"" singer's mother Tina Knowles shut down rumors that her daughter was paid $10 million to speak at a Kamala Harris rally...",Celebrity,neutral
$1.5 billion in 15 weeks: Kamala Harrisâ€™ INSANE campaign spending exposed,"Kamala Harrisâ€™ campaign took a nosedive toward the end, and upon closer look, her wasteful spending may have played a major role â€” as the vice president reportedly burned through $1.5 billion within just 15 weeks.  â€œShe was able to spend $1.5 billion in 15 weâ€¦",Campaign Activity,negative
Biden sounds upbeat in first speech since devastating election loss for Kamala Harris: 'Giving up is unforgivable',President Joe Biden appeared almost happy in the first speech he's given since the devastating loss for Vice President Kamala Harris in the election. Biden spoke for about 10 minutes from the White House on Thursday and tried to encourage supporters to keep fâ€¦,Fallout & Moving Forward,neutral
Was Kamala Harris a Victim of the Glass Cliff?,"Donald Trump thoroughly beat Vice President Kamala Harris in this weekâ€™s election, winning the electoral college and popular vote. Was this a further example of the glass cliff, where The post Was Kamala Harris a Victim of the Glass Cliff? appeared first on Iâ€¦",Analysis,neutral
Kamala Harris Came Much Closer to Winning Than You Think,"Nobody should blame Kamala Harris for Trumpâ€™s election. In retrospect, the Biden administrationâ€™s perceived failures were a hill too steep to climb, but Harris came closer that you might think to an Electoral College win.",Analysis,positive
Why Kamala Harris Bailed on Joe Rogan,"In the closing weeks of the 2024 presidential campaign, Vice President Kamala Harris had an opportunity to appear on the Joe Rogan Experience, the most",Analysis,neutral
Oprah Winfrey Denies Being Paid to Endorse Kamala Harris,"Oprah Winfrey is denying allegations that she was paid to endorse Kamala Harris ahead of the election. Fox News, among other outlets, reported over the weekend, â€œVice President Kamala Harris paid Oprah Winfreyâ€™s Harpo Productions $1 million, just one example â€¦",Celebrity,negative
"Oprah Winfrey Further Clarifies False Kamala Harris Endorsement Money Story, Reveals Who Was Actually Paid","Oprah Winfrey is further clarifying allegations that she was paid to endorse Kamala Harris. If you donâ€™t know, the night before the 2024 Presidential Election, Oprah was in attendance at VP Harrisâ€˜ final rally in Philadelphia to energize voters in Pennsylvaniâ€¦",Celebrity,neutral
Tina Knowles Hits Back at False Reports That BeyoncÃ© Was Paid to Speak at Kamala Harris Houston Rally,Tina Knowles is hitting back at Candace Owens. On Friday (November 15) the 35-year-old far-right political commentator shared a video on Instagram in which she accused BeyoncÃ© of being paid $10 million to speak at Kamala Harrisâ€˜ Houston rally last month. The â€¦,Celebrity,neutral
Kamala Harris' Stepdaughter Ella Emhoff Slams Reports She Had 'Mental Breakdown' After Presidential Election 2024,"Ella Emhoff is responding to the recent headlines about her. Over the past few days, there has been a lot of rumors on social media that the 25-year-old model, who is the daughter of Second Gentleman Doug Emhoff, had a â€œmental breakdownâ€ and checked into a hoâ€¦",Fallout & Moving Forward,neutral
Andy Cohen Claps Back at Troll Over Celebrity Endorsements For Kamala Harris,"Andy Cohen is hitting back at someone for their comment on one of his recent posts. The Watch What Happens Live host shared on Instagram video on Wednesday (November 6) talking about the results of the 2024 Presidential Election, where Donald Trump was announâ€¦",Fallout & Moving Forward,neutral
Kamala Harris Deserved Betterâ€”and Thereâ€™s No Easy Explanation for Why She Didnâ€™t Get It,Joan Walsh    Consider how resoundingly she succeeded in her 107-day campaignâ€”and what that means about how deep the problems are that we need to solve.       The post Kamala Harris Deserved Betterâ€”and Thereâ€™s No Easy Explanation for Why She Didnâ€™t Get It appâ€¦,Analysis,positive
Comparing Kamala Harris' and Hillary Clinton's performances against Trump,Hillary Clinton attempted to shatter the highest glass ceiling in U.S. politics and went up against now-President-elect Donald Trump in 2016. CBS News deputy director of elections and data analytics Kabir Khanna compares her performance with Vice President Kaâ€¦,Analysis,neutral
"Kamala Harris campaign staff emotionally devastated after election loss, concession to Trump",Vice President Kamala Harris' campaign staff is coming to grips and trying to understand what went wrong in the wake of their loss to Donald Trump. CBS News campaign reporter Shawna Mizelle reports on that and Bernie Sanders' post-election criticism of the Deâ€¦,Fallout & Moving Forward,neutral
"Biden delivers first remarks since election, calls Kamala Harris' loss to Trump a setback","President Biden addressed the nation Thursday for the first time since Kamala Harris' loss to Donald Trump in the election, which Mr. Biden referred to as a setback. The president said he would work with the president-elect's team to ensure a peaceful transitâ€¦",Fallout & Moving Forward,neutral
Where do Democrats go after Kamala Harris' election loss to Trump,The Democratic Party is taking stock of what went wrong and how they can move forward after Kamala Harris' election loss to Donald Trump. Democratic strategist Hyma Moore joined CBS News to discuss how the party might try to regroup.,Fallout & Moving Forward,neutral
Former Kamala Harris aide says Joe Biden should resign so she can serve as 47th president,"Former Harris communications director Jamal Simmons said on CNN that Joe Biden could step down, allowing Kamala Harris to serve as the 47th president.",Fallout & Moving Forward,positive
"Trump taps Brendan Carr, who opposed Kamala Harris' SNL cameo, to lead the FCC",,Trump,neutral
Why Kamala Harris lost: A flawed candidate or doomed campaign?,,Analysis,negative
Kamala Harris Was Always Doomed,"The presidential race was not unpredictable, as the now once again discredited polls swore to us. The Republicans had made massive gains in voter registration... Read More The post Kamala Harris Was Always Doomed appeared first on The Daily Signal.",Analysis,negative
FAITH REALIGNMENT: Which Religious Group Voted for Kamala Harris?,"Most Catholics and Protestants say they voted for the once and future president, Donald Trump, in Tuesdayâ€™s election, while most nonreligious Americans seem to have... Read More The post FAITH REALIGNMENT: Which Religious Group Voted for Kamala Harris? appearâ€¦",Analysis,neutral
Voters in Kamala Harrisâ€™ Hometown Smack Down Initiative to Tax Natural Gas Use,"DAILY CALLER NEWS FOUNDATIONâ€”Voters in Berkeley, California, soundly rejected a proposal that would have required owners of certain larger buildings to pay a fee in... Read More The post Voters in Kamala Harrisâ€™ Hometown Smack Down Initiative to Tax Natural Gâ€¦",Fallout & Moving Forward,negative
This photo of Kamala Harris shows us exactly how to survive Trump's second term,Vice President Kamala Harris' niece Meena Harris shared photos of the vice president playing Connect 4 with Meena's granddaughters.,Fallout & Moving Forward,neutral
Kamala Harrisâ€™ campaign didnâ€™t ignore working class voters,There are a couple of problems with Bernie Sandersâ€™ argument that Democrats have abandoned the working class. The most obvious and glaring is that it simply isnâ€™t true.,Analysis,neutral
Kamala Harris just did what Donald Trump never could,The vice president revived the 220-year-old tradition of peaceful transfer of power that Donald Trump broke in 2020.,Analysis,positive
"Sorry not sorry, JD Vance â€” 'Normal' gays still voted for Kamala Harris","An overwhelming 86 percent of LGBTQ+ voters backed the Vice President, compared to just 12 percent who voted for Trump.",Analysis,positive
Kamala Harris raised $1 billion-plus in defeat. She's still sending persistent appeals to donors,,Campaign Activity,neutral
James Carville says Kamala Harris' failed campaign could be reduced to Sunny Hostin's question on 'The View',,Fallout & Moving Forward,neutral
The Left Didnâ€™t Sink Kamala Harris. Here's What Did.,"Waleed Shahid    Itâ€™s easier to blame activists, but far more powerful forces have led Democrats to neglect the real crises facing Americans.       The post The Left Didnâ€™t Sink Kamala Harris. Here's What Did. appeared first on The Nation.",Analysis,negative
Kamala Harris ran a historic campaign. What will her legacy be?,"Vice President Kamala Harris made history as the first woman of color to lead the ticket of a major party. But despite her historic run, she ultimately lost. What will her legacy be?<br><br>For sponsor-free episodes of <em>Consider This,</em> sign up for C<emâ€¦",Fallout & Moving Forward,neutral
Why Kamala Harris Got So Many Fewer Votes Than Biden,Social media posts after the presidential election were abuzz about the disparity in the vote tally from 2020 to 2024.  Preliminary counts show President-elect Donald... Read More The post Why Kamala Harris Got So Many Fewer Votes Than Biden appeared first onâ€¦,Analysis,negative
Former Communications Director for Kamala Harris Suggests 'Biden Should Resign',"Vice President Kamala Harris's former communications director Jamal Simmons suggested that President Joe Biden ""should resign"" in order to make Harris ""the first woman president."" The post Former Communications Director for Kamala Harris Suggests â€˜Biden Shoulâ€¦",Fallout & Moving Forward,positive
Report: Kamala Harris Campaign Paid Oprah Winfrey $1 Million,Oprah Winfrey -- who is estimated to be a billionaire -- appeared alongside Kamala Harris in a televised townhall-style interview in September and later at a rally in Philadelphia the night before the election where the former talkshow queen fear-mongered towâ€¦,Celebrity,negative
Chicago Tribune Editorial Board Scolds Oprah Winfrey over $1 Million Kamala Harris Payment to Harpo Productions,"Oprah Winfrey is getting chewed out by her hometown newspaper, The Chicago Tribune, whose editorial board has chastised the former talkshow queen over the $1 million her production company reportedly received from the Kamala Harris campaign to produce the canâ€¦",Celebrity,negative
Nolte: Kamala Harris Way In Front of 2028 Democrat Presidential Contenders,"Kamala Harris leads her closest potential 2028 Democrat presidential contender by 33 points, according to polling from Echelon Insights. The post Nolte: Kamala Harris Way In Front of 2028 Democrat Presidential Contenders appeared first on Breitbart.",Fallout & Moving Forward,positive
Fetterman Slams Nancy Pelosi for 'Blaming Biden' over Kamala Harris Election Loss: 'You Got What You Wanted',"Sen. John Fetterman (D-PA) slammed Rep. Nancy Pelosi (D-CA) for ""blaming"" President Joe Biden for Vice President Kamala Harris's election loss, noting that she got what she wanted when Biden dropped out of the race. The post Fetterman Slams Nancy Pelosi for â€˜â€¦",Fallout & Moving Forward,negative
"Tulane Women's Basketball Coach Wears Kamala Harris Shirt to First Game After Election, Loses Game","Tulane women's basketball coach Ashley Langford went viral after appearing on the sidelines wearing a Kamala Harris campaign shirt. The post Tulane Womenâ€™s Basketball Coach Wears Kamala Harris Shirt to First Game After Election, Loses Game appeared first on Bâ€¦",Fallout & Moving Forward,negative
Survey: Over Half of Kamala Harris Voters Want to Relocate After Donald Trump's Election Victory,A survey published Friday shows that some citizens are ready to pick up and move now that President-elect Donald Trump won the election. The post Survey: Over Half of Kamala Harris Voters Want to Relocate After Donald Trumpâ€™s Election Victory appeared first oâ€¦,Fallout & Moving Forward,positive
VIDEO -- Tim Walz's Daughter Speaks Out About Election Results: U.S. 'Does Not Deserve Kamala Harris',"Democrat Minnesota Gov. Tim Walz's daughter, Hope, spoke out about the results of the presidential election, stating that the United States ""does not deserve"" Vice President Kamala Harris. The post VIDEO â€” Tim Walzâ€™s Daughter Speaks Out About Election Resultsâ€¦",Fallout & Moving Forward,positive
'The Big Short' Director Adam McKay Encourages Voters to Abandon Democrats over Kamala Harris Loss,"Adam McKay -- who directed the 2018 Dick Cheney biopic ""Vice"" -- is encouraging voters to abandon the Democrat party in the wake of Kamala Harris' loss to President-elect Donald Trump, calling out Democrat elites for their lies and shenanigans, including hidiâ€¦",Fallout & Moving Forward,negative
Distressed Sally Field Seen Trashing Kamala Harris Yard Signs After Election,Oscar-winning actress Sally Field's birthday on Wednesday was not as happy as she'd hoped as she was seen trashing her Kamala Harris yard signs in the wake of Donald Trump's landslide victory. The post Distressed Sally Field Seen Trashing Kamala Harris Yard Sâ€¦,Fallout & Moving Forward,neutral
Nancy Pelosi Flips on Kamala Harris: Election 'Would Have Been Different' if Democrats Had an 'Open Primary',"Rep. Nancy Pelosi said the election ""would have been different"" if the Democrats had held a primary process after Joe Biden dropped out. The post Nancy Pelosi Flips on Kamala Harris: Election â€˜Would Have Been Differentâ€™ if Democrats Had an â€˜Open Primaryâ€™ appeâ€¦",Fallout & Moving Forward,negative
"Trump Teases Democrats for Kamala Harris, DNC Debt with Joking Offer to Pay It Off Using His Leftover Campaign Funds","President-elect Donald Trump on Saturday teased Democrats who spent tons of money and incurred debt trying to defeat him in the election. The post Trump Teases Democrats for Kamala Harris, DNC Debt with Joking Offer to Pay It Off Using His Leftover Campaign Fâ€¦",Trump,negative
"Report: Kamala Harris Blew $20 Million on Election-Eve Concerts with Lady Gaga, Katy Perry in Swing States Where Trump Beat Her","Amid the stunning revelation that Kamala Harris' unsuccessful presidential campaign ended up $20 million in the red, despite raising $1 billion from donors, a new report has found that the rock concerts that her campaign staged on the night before the electioâ€¦",Campaign Activity,negative
"Kamala Harris paid Oprah Winfreyâ€™s production company $1M during campaign, Oprah didn't get a dime","The Washington Examiner reported last Friday that the Harris campaign paid $1 million to Winfreyâ€™s production company Harpo on Oct. 15. Oprah Winfrey denied being paid $1 million for the Kamala Harris for the â€œUnited for Americaâ€ town hall event, which was liâ€¦",Campaign Activity,neutral
Why Kamala Harris lost: a flawed candidate or doomed campaign?,"The vice-president failed to make the case that she would be different from her boss, President Joe Biden.",Analysis,negative
Former Clinton administration consultant blasts Kamala Harris as SORE LOSER,"A former strategic consultant under former President Bill Clinton slammed Kamala Harris, outgoing vice president and failed presidential candidate, as a â€œsore loser.â€ Barbara Heineback, a long-time Democratic staffer who first served under the late former Preâ€¦",Fallout & Moving Forward,negative
Kamala Harris says she will continue to fight for abortion during concession speech,"After losing against President-elect Donald Trump, Vice President Kamala Harris vowed that she would not give up her â€œfight for democracy, especially a womanâ€™s right to abortion.â€ On Nov. 6, Harris, accompanied by her running mate Minnesota Gov. Tim Walz and â€¦",Fallout & Moving Forward,neutral
Kamala Harrisâ€™ campaign advisor deletes X account after blaming Biden for loss,"Outgoing Vice President Kamala Harrisâ€™ senior campaign advisor David Plouffe â€œindirectlyâ€ took a swipe at current U.S. President Joe Biden for causing the landslide defeat of the Democratic presidential nominee, suggesting that the hole they dug was not deep â€¦",Fallout & Moving Forward,neutral
